name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kolkata,India",2020-09-01,31,25,27.4,44.3,25,31.7,26.2,93.3,19.109,100,16.67,rain,0,0,,18.4,219.9,1005.5,70.9,3.1,91.7,8.1,3,,2020-09-01T05:19:06,2020-09-01T17:53:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-02,31,25,27.4,44.3,25,32.1,26.1,92.9,11.559,100,12.5,rain,0,0,,10.1,158.8,1007.5,53.6,3.4,288,24.9,9,,2020-09-02T05:19:24,2020-09-02T17:52:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-03,34,26.8,30.1,47.3,30.6,39,27.2,85.4,1.633,100,8.33,rain,0,0,,14.8,160.8,1008.4,39.8,4.1,271.2,23.4,8,,2020-09-03T05:19:42,2020-09-03T17:51:37,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-04,34,27.3,30.4,52,32.4,41.6,28.2,88.4,0.243,100,4.17,rain,0,0,,11.2,179.1,1007,50.2,3.9,272.3,23.4,9,,2020-09-04T05:20:00,2020-09-04T17:50:40,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-05,35,28.4,31.3,53.6,35.8,42.8,28.1,83.8,0.16,100,4.17,rain,0,0,,16.6,196.7,1005.2,43.9,4,220.6,19,7,,2020-09-05T05:20:18,2020-09-05T17:49:42,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-06,36,28.8,31.5,57.9,36.8,44.3,28.6,84.8,0.1,100,4.17,rain,0,0,,20.5,187.1,1004.7,45.5,4,138.2,11.9,5,,2020-09-06T05:20:35,2020-09-06T17:48:44,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-07,35,29.1,31.5,53.6,37,44.1,28.5,84.1,0,0,0,,0,0,,22.3,194.3,1005,51.1,3.9,243.3,21,8,,2020-09-07T05:20:53,2020-09-07T17:47:46,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-08,35,27.8,30.8,56.5,33.5,42.8,28.4,87.7,49.502,100,8.33,rain,0,0,,18.4,196.1,1005.5,64.8,3.6,66.3,6,2,,2020-09-08T05:21:10,2020-09-08T17:46:47,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999,remote"
"Kolkata,India",2020-09-09,35,27.1,31.1,51,31.7,42.4,28,84.3,0,0,0,,0,0,,14.8,197.7,1004.6,55.2,3.8,127,11,4,,2020-09-09T05:21:28,2020-09-09T17:45:48,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
"Kolkata,India",2020-09-10,33.3,27,30,50.4,31.2,40.9,28.3,90.6,0.739,100,8.33,rain,0,0,,16.6,197.5,1002.6,65.6,3.3,185.2,15.9,7,,2020-09-10T05:21:45,2020-09-10T17:44:49,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999,remote"
